fecha_entrada,fecha_salida,direccion,retorno_pct,retorno_R,stop_pct,resultado
2024-01-22 19:13:00,2024-01-22 19:18:00,CORTO,0.521,1.045,0.499,GANADOR
2024-01-22 19:31:00,2024-01-22 19:45:00,CORTO,1.428,2.906,0.491,GANADOR
2024-01-23 08:50:00,2024-01-23 09:37:00,CORTO,0.8,1.6,0.5,GANADOR
2024-01-23 09:47:00,2024-01-23 10:21:00,CORTO,0.938,1.9,0.494,GANADOR
2024-01-23 11:49:00,2024-01-23 12:00:00,CORTO,1.48,3.007,0.492,GANADOR
2024-01-26 16:33:00,2024-01-26 17:25:00,LARGO,-0.243,-0.487,0.499,PERDEDOR
2024-01-26 18:46:00,2024-01-26 19:46:00,LARGO,0.159,0.316,0.503,GANADOR
2024-01-26 20:02:00,2024-01-26 20:20:00,LARGO,0.313,0.621,0.504,GANADOR
2024-01-28 04:04:00,2024-01-28 05:31:00,LARGO,0.799,1.595,0.501,GANADOR
2024-01-28 05:46:00,2024-01-28 06:44:00,LARGO,0.204,0.404,0.504,GANADOR
2024-01-28 06:46:00,2024-01-28 11:20:00,LARGO,0.501,0.998,0.502,GANADOR
2024-01-29 16:20:00,2024-01-29 17:09:00,LARGO,0.498,0.994,0.501,GANADOR
2024-01-29 17:17:00,2024-01-29 17:47:00,LARGO,0.251,0.499,0.504,GANADOR
2024-01-29 20:05:00,2024-01-30 03:10:00,LARGO,1.618,3.216,0.503,GANADOR
2024-01-30 05:01:00,2024-01-30 08:03:00,LARGO,-0.243,-0.486,0.501,PERDEDOR
2024-01-30 08:16:00,2024-01-30 12:28:00,LARGO,0.664,1.324,0.501,GANADOR
2024-01-30 12:32:00,2024-01-30 12:49:00,LARGO,-0.155,-0.309,0.501,PERDEDOR
2024-02-07 17:37:00,2024-02-07 17:43:00,LARGO,-0.234,-0.468,0.499,PERDEDOR
2024-02-07 18:02:00,2024-02-07 19:23:00,LARGO,-0.236,-0.473,0.499,PERDEDOR
2024-02-07 20:06:00,2024-02-07 20:28:00,LARGO,0.899,1.786,0.504,GANADOR
2024-02-08 00:01:00,2024-02-08 00:31:00,LARGO,0.061,0.121,0.499,GANADOR
2024-02-08 01:16:00,2024-02-08 02:27:00,LARGO,0.247,0.492,0.502,GANADOR
2024-02-08 02:32:00,2024-02-08 04:54:00,LARGO,0.134,0.266,0.503,GANADOR
2024-02-09 02:18:00,2024-02-09 03:07:00,LARGO,1.105,2.2,0.502,GANADOR
2024-02-09 03:16:00,2024-02-09 04:15:00,LARGO,0.79,1.564,0.505,GANADOR
2024-02-09 05:36:00,2024-02-09 07:51:00,LARGO,1.263,2.493,0.506,GANADOR
