date,entry_time,exit_time,direction,entry,exit,so,stop_level,band_upper,band_lower,atr14,n,pnl,equity,reason,period
2024-02-22,13:10,15:25,LONG,18007.75,18059.0,17896.0,17896.0,18009.21,17782.79,226.41,13,1324.44,95893.06,EOD,OOS
2024-02-23,11:05,15:25,SHORT,17966.75,17972.25,18105.75,18105.75,18230.92,17980.58,250.34,7,-81.34,95811.72,EOD,OOS
2024-03-01,11:10,15:25,LONG,18216.75,18344.25,18096.5,18096.5,18212.11,17980.89,231.21,16,4070.08,99881.8,EOD,OOS
2024-03-05,10:25,15:25,SHORT,17961.5,17841.75,18133.75,18133.75,18249.7,18017.8,231.89,15,3583.2,103465.0,EOD,OOS
2024-03-07,12:10,15:25,LONG,18310.25,18303.5,18182.25,18182.25,18299.78,18064.72,235.05,10,-141.2,103323.8,EOD,OOS
2024-03-08,11:50,15:25,SHORT,18189.25,18050.75,18318.5,18318.5,18441.85,18195.15,246.7,9,2487.42,105811.22,EOD,OOS
2024-03-12,11:35,15:25,LONG,18189.0,18220.0,18064.75,18064.75,18190.35,17939.15,251.2,10,613.8,106425.02,EOD,OOS
2024-03-14,10:05,15:25,SHORT,18016.5,17946.25,18126.0,18126.0,18241.45,18010.55,230.89,10,1398.8,107823.82,EOD,OOS
2024-03-19,13:50,15:25,LONG,18253.5,18232.25,18143.5,18143.5,18269.38,18017.62,251.75,14,-603.68,107220.14,EOD,OOS
2024-03-20,15:20,15:25,LONG,18476.5,18486.0,18318.0,18318.0,18447.88,18188.12,259.77,14,257.32,107477.46,EOD,OOS
2024-03-27,10:05,15:25,SHORT,18409.25,18436.5,18566.25,18566.25,18687.29,18445.21,242.07,20,-1102.4,106375.06,EOD,OOS
2024-04-03,10:05,15:25,LONG,18333.25,18333.25,18240.75,18240.75,18348.92,18132.58,216.34,20,-12.4,106362.66,EOD,OOS
2024-04-04,14:20,15:25,SHORT,18400.25,18109.75,18541.5,18541.5,18646.12,18436.88,209.25,20,11607.6,117970.26,EOD,OOS
2024-04-05,11:00,15:25,LONG,18298.5,18289.0,18138.25,18138.25,18254.04,18022.46,231.59,19,-372.78,117597.48,EOD,OOS
2024-04-09,10:55,15:25,SHORT,18216.75,18328.5,18391.0,18391.0,18502.76,18279.24,223.52,14,-3137.68,114459.8,EOD,OOS
2024-04-11,13:35,15:25,LONG,18401.75,18501.75,18265.25,18265.25,18377.36,18153.14,224.21,13,2591.94,117051.74,EOD,OOS
2024-04-12,12:50,15:25,SHORT,18164.25,18140.25,18296.75,18296.75,18413.37,18180.13,233.23,15,710.7,117762.44,EOD,OOS
